CardholderID,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,IsWisabi
RS-004-1018,Emmanuel,Akpobari,M,RS-004,02/14/2002,Mechanic,Current,1
AN-005-1022,Habiba,Zainab,M,AN-005,06/28/1987,Factory Worker,Current,0
AN-005-1024,Abdulkadir,Sadiq,F,AN-005,09/28/2003,Trader,Current,1
AN-006-1007,Adetokunbo,Adeniyi,M,AN-006,08/20/1978,Human Resources Specialist,Current,1
AN-006-1036,Qudus,Ademola,F,AN-006,10/2/1985,Trader,Current,1
AN-006-1037,Folasade,Abimbola,F,AN-006,08/30/1991,Marketing Executive,Savings,1
AT-005-1151,Deborah,Okereke,F,AT-005,11/9/1982,Software Developer,Savings,1
RS-001-1037,Onyinye,Okon,M,RS-001,6/1/1991,Electrician,Savings,1
RS-003-1033,Chukwuemeka,Nnamani,M,RS-003,04/23/1990,Engineer,Savings,1
BG-009-1001,Obinna,Eze,M,BG-009,02/28/1997,Manager,Current,1
BG-007-1053,Chidinma,Nwankwo,M,BG-007,02/20/1997,Construction Worker,Current,1
RS-008-1040,Ijeoma,Brown,F,RS-008,05/17/1982,Health Professional,Savings,1
RS-008-1077,Maxwell,Akobo,M,RS-008,10/6/2002,Student,Savings,1
AN-006-1013,Sadiya,Fadila,F,AN-006,11/10/1987,Health Professional,Savings,1
AN-005-1013,Fati,Zainab,M,AN-005,07/14/1990,Accountant,Current,1
BG-009-1053,Obiageli,Uzoma,F,BG-009,01/27/1984,Manager,Savings,0
VC-010-1045,Sadiya,Musa,F,VC-010,04/23/1986,Human Resources Specialist,Current,1
AN-004-1028,Ruqayya,Rukayat,M,AN-004,3/6/1990,Marketing Executive,Current,0
AN-006-1028,Jideofor,Aikhomu,F,AN-006,07/24/1986,Trader,Current,1
AN-003-1030,Benedict,Agboola,F,AN-003,7/11/1985,Marketing Executive,Savings,0
AN-004-1038,Jideofor,Oni,M,AN-004,03/21/1989,Trader,Savings,0
VC-005-1178,Aliyu,Rukayya,M,VC-005,11/9/1997,Marketing Executive,Current,1
AN-004-1013,Habiba,Danladi,F,AN-004,03/21/1996,Health Professional,Savings,1
AN-006-1008,Usman,Sadiq,M,AN-006,12/22/1993,Human Resources Specialist,Current,1
AN-005-1042,Adesanmi,Adebayo,M,AN-005,08/21/1982,Human Resources Specialist,Savings,1
VC-005-1009,Ibrahim,Ali,M,VC-005,6/9/1992,Factory Worker,Current,1
VC-005-1121,Rabi,Danjuma,M,VC-005,7/8/1993,Marketing Executive,Current,1
RS-007-1041,Olufunke,Ezeani,M,RS-007,11/11/1990,Factory Worker,Current,1
AN-001-1024,Ruqayya,Sadiq,M,AN-001,04/15/2001,Lawyer,Current,0
BG-008-1046,Amarachi,Ojukwu,M,BG-008,11/9/2001,Mechanic,Savings,1
BG-008-1080,Ikenna,Madu,F,BG-008,12/28/1998,Trader,Current,1
VC-005-1172,Aliyu,Fati,F,VC-005,12/18/1989,Engineer,Current,1
AN-006-1035,Chris,Oluwafemi,F,AN-006,8/11/1979,Health Professional,Savings,0
BG-009-1032,Uzoma,Orji,M,BG-009,06/17/1986,Engineer,Savings,1
AT-006-1249,Edith,Akande,M,AT-006,9/11/1990,Factory Worker,Current,0
AT-011-1064,Gbolahan,Ogunnaike,M,AT-011,02/28/1988,Software Developer,Savings,1
BG-006-1021,Chinweuba,Okeke,M,BG-006,03/29/2002,Manager,Current,1
AT-003-1154,Damilola,Okoye,M,AT-003,3/8/1992,Farmer,Savings,1
AN-006-1034,Christian,Nwachukwu,F,AN-006,12/15/1987,Health Professional,Savings,1
AT-015-1006,Edwin,Adebayo,M,AT-015,12/8/1999,Plumber,Savings,0
BG-001-1031,Uchenna,Eze,M,BG-001,09/19/2006,Student,Savings,1
AN-001-1030,Oluwatobi,Nwosu,M,AN-001,08/19/2002,Lawyer,Savings,0
AN-005-1017,Nasiru,Nafisa,M,AN-005,03/20/1997,Farmer,Current,0
AN-006-1033,Oluwadamilare,Yusuf,F,AN-006,12/10/1990,Trader,Current,1
VC-004-1040,Musa,Musa,M,VC-004,8/2/1996,Health Professional,Current,1
AT-006-1050,Ashimiyu,Obi,F,AT-006,01/13/1995,Trader,Savings,1
BG-001-1043,Ebuka,Nnaji,F,BG-001,5/6/1981,Data Analyst,Savings,1
AN-006-1029,Azeez,Odeyemi,F,AN-006,02/28/1986,Trader,Current,1
VC-002-1217,Hafsatu,Zainab,F,VC-002,06/14/2003,Trader,Savings,1
BG-009-1079,Chukwuka,Ekwueme,M,BG-009,10/6/2003,Factory Worker,Savings,1
RS-005-1090,Chioma,Nwachukwu,F,RS-005,03/19/1991,Human Resources Specialist,Current,1
AN-004-1008,Adebimpe,Adebayo,F,AN-004,01/15/1987,Lawyer,Savings,1
AT-003-1120,Iretiola,Nwosu,F,AT-003,12/9/1995,Lawyer,Savings,1
VC-002-1198,Nafisa,Aisha,F,VC-002,11/5/1990,Lawyer,Current,1
RS-003-1022,Chidinma,Pepple,M,RS-003,11/7/1996,Software Developer,Savings,1
AN-002-1007,Nneka,Nwachukwu,F,AN-002,5/4/2000,Health Professional,Savings,1
BG-007-1065,Chinelo,Uzor,F,BG-007,08/17/1992,Manager,Current,0
BG-008-1073,Ifeanyi,Okereke,F,BG-008,5/11/1986,Data Analyst,Savings,1
AT-002-1143,Ekele,Adekunle,M,AT-002,12/7/1990,Farmer,Current,1
AN-006-1027,Oluwasegun,Adeyemo,M,AN-006,07/21/1996,Electrician,Current,1
AT-014-1126,Adetokunbo,Onwuka,F,AT-014,10/19/1993,Manager,Current,1
AT-012-1074,Amina,Nkechi,F,AT-012,7/8/2001,Data Analyst,Savings,1
RS-010-1081,Vincent,Amaechi,M,RS-010,04/24/1995,Welder,Current,1
BG-003-1066,Chukwuemeka,Okorie,M,BG-003,08/20/2001,Accountant,Current,1
BG-003-1072,Kelechi,Okafor,M,BG-003,09/29/1988,Trader,Current,1
AN-006-1011,Ahmed,Firdausi,M,AN-006,12/19/1997,Electrician,Savings,1
AT-009-1064,Chinedu,Balogun,F,AT-009,09/30/1989,Data Analyst,Current,1
AN-004-1030,Angela,Oluwatosin,F,AN-004,8/12/1990,Trader,Current,1
